Brief,Category,Clients,Status,Lead,Level of effort,Start date,Shortlisted Agencies,Winning Agency,Pitch Feedback Form,Quality: How would you rate the quality of delivery against your brief?,Value: How would you rate the agency in terms of value for money?,Chemistry: How would you rate the quality of the team and service you received?,Overall: How likely would you be to recommend this agency to your network and colleagues?,Would you like to share any other project feedback to the agency?,Studiospace: How would you rate your overall experience of working with Studiospace?,Overall: How likely would be to recommend  Studiospace to your network and colleagues?,Would you like to share any feedback to Studiospace?,Client Feedback,End date,Region,Reason for matching
Quote Me Happy Content,SEO & PPC,Aviva,5. Archived,Paul Bowman,Low (1-5 hours),8/8/2022,Buddy Media,Buddy Media,,9,10,10,10,"Giving very high scores because the patience shown by Buddy, dealing with some of the challenges and changes as a result of Aviva's riks appetite was commendable. The output has been seen by the CEO - so very visible (it was a good response). And they're specialist expertise is shaping our thinking on how we use / work with agencies. ",10,10,The model and how we work with Studiospace is excellent. I discussed with Paul Bowman additional controls on marketing requests given the new operating model in Aviva,David Judic,11/8/2022,UK,
DW E2E Prototype ,UX/UI Design,Aviva,5. Archived,Paul Bowman,Low (1-5 hours),15/8/2022,NMD+,NMD+,,,,,,,,,,,4/11/2022,UK,
DW retained design squad - 1st 2 weeks,UX/UI Design,Aviva,5. Archived,Phil Kohler,High (10+ hours),22/8/2022,Hedgehog Lab,Hedgehog Lab,,,,,,,,,,,,UK,
Group Life Content,Social & Content,Aviva,5. Archived,Paul Bowman,High (10+ hours),29/8/2022,"Notepad Studio,Orange Panther Collective,2050London",Orange Panther Collective,,7,6,5,3,"- Slow
- Projects seem to be handed off to external artworkers etc who then don't understand the brief/brand/agreements
- Basic creative skills - didn't always embrace the brand/feedback and some elements felt like we were having to give basic feedback / spoon feed amends  
- Poor communication
- Numerous deadlines missed
- The strategy was great, the delivery was hard going - we would never have met the original urgent timescales
- We've ended up with some great assets but the slog to get there has seriously affected view of the agency
- Lovely people - just doesn't feel right for Aviva ",7,7,Feels like an initial hand off/intro to agencies then no more interaction,Rachel Lovell,3/2/2023,UK,
DW Retained Squad,UX/UI Design,Aviva,5. Archived,Phil Kohler,High (10+ hours),5/9/2022,"Hedgehog Lab,xDesign",Hedgehog Lab,Emma Quinn,,,,,,,,,,28/2/2023,UK,
PRIS Video Production,Creative & Production,Aviva,5. Archived,Paul Bowman,Low (1-5 hours),8/9/2022,Viewpoint Studios,Viewpoint Studios,,,,,,,,,,,8/12/2022,UK,
SHIRO follow on,UX/UI Design,Aviva,5. Archived,Phil Kohler,Low (1-5 hours),3/10/2022,Shoreditch Design Studio,Shoreditch Design Studio,,8,8,8,8,"The design work was great, however the user testing was not as great and we ended having to do a lot of it, which hadn't been anticipated.  ",10,10,,Anna Herdman,28/10/2022,UK,
Customer Engagement Triggers,CRM & Loyalty,Aviva,5. Archived,Paul Bowman,Low (1-5 hours),4/10/2022,"GH05T Ltd.,Reed Words",Reed Words,,,,,,,,,,,22/11/2021,UK,
Financial Wellbeing,UX/UI Design,Aviva,5. Archived,Phil Kohler,Medium (5-10 hours),19/10/2022,"xDesign,Shoreditch Design Studio,Loomery",xDesign,,,,,,,,,,,31/1/2023,UK,
MOCO Marketing (November/December),Social & Content,Aviva,5. Archived,Peter Sayburn,Low (1-5 hours),31/10/2022,Buddy Media,Buddy Media,,,,,,,,,,,23/12/2022,UK,
Game of Risk,UX/UI Design,Aviva,5. Archived,Paul Bowman,Medium (5-10 hours),1/12/2022,Innovate Live,Innovate Live,,7,8,8,8,"The team were great, really fun and some pretty great outputs / concepts explored. I would say the team need to work on their polish and the things that sit around the actual game development. E.g. How they playback, production of deliverables, putting in meetings etc. Although these things were fine, but it felt like Innovate Live were new to this and working with a big corporate. I think if they wanted to get more work in this space it would be key for them to upskill in these areas as they will often work with stakeholders who are not as passionate about gaming like ourselves. ",10,10,Love the scope the brief sessions! ,Anna Herdman,20/1/2023,UK,
MOCO content ,Social & Content,Aviva,5. Archived,Peter Sayburn,Low (1-5 hours),9/12/2022,Buddy Media,Buddy Media,,,,,,,,,,,23/12/2022,UK,
Brand Escape Room Design,Brand Strategy,Aviva,5. Archived,Paul Bowman,Low (1-5 hours),12/12/2022,"S+Co,The Park,Innovate Live",Innovate Live,,,,,,,,,,,23/1/2023,UK,
Aviva Advisor Prop Messaging,Copywriting,Aviva,5. Archived,Paul Bowman,Low (1-5 hours),4/1/2023,Reed Words,Reed Words,,10,10,10,10,"From start to finish, Jade and Sam have been fantastic! They understood what we needed, challenged us and have ultimately delivered content that we're super happy with.",10,10,,Emma Lowen,31/1/2023,UK,
Brand Escape Room Production,Brand Strategy,Aviva,5. Archived,Paul Bowman,Low (1-5 hours),23/1/2023,,Innovate Live,"Clare Beaumont-Adam,Clare Beaumont-Adam",,,,,,,,,,23/2/2023,UK,
V2 Aviva Advisor Prop Messaging ,Copywriting,Aviva,5. Archived,Paul Bowman,Low (1-5 hours),2/2/2023,Reed Words,Reed Words,,,,,,,,,,,28/2/2023,UK,
"Escape Room Hoxton
",Spatial & Event Design,Aviva,5. Archived,Paul Bowman,Medium (5-10 hours),27/3/2023,Innovate Live,Innovate Live,,,,,,,,,,,27/3/2023,UK,
Countrywide broker video,Video,AXA,5. Archived,Peter Sayburn,Medium (5-10 hours),17/2/2023,"Viewpoint Studios,Shoreditch Design Studio",Shoreditch Design Studio,,10,10,10,10,"We had an incredibly tight turn around, but Shoreditch were able to take the tight time frame and small brief and produce gold from it. Will definitely use their services again.",10,10,"I'd heard great things about Studiospace from my colleagues, and they did not disappoint. They understood that we had a tight three week turn-around, and they were able to get us a meeting with two creators the next day. ",Joshua May,10/3/2023,UK,
Marketing team coaching,Business Consultancy,Biffa,5. Archived,Phil Kohler,Low (1-5 hours),4/7/2022,Blue Feathers,Blue Feathers,,10,10,10,10,"The preparation and consideration that went into the coaching sessions, and the updates with me, was very thorough. I thought the insight on the members going through the coaching was very helpful. Both team members have visibly improved since completing the coaching.",10,10,,Pam Conway,2/12/2022,UK,
Media buying,Media Buying,Biffa,5. Archived,Hannah Fraser,Medium (5-10 hours),11/7/2022,Orange Panther Collective,Orange Panther Collective,,7,8,6,7,Not particularly quick at responding to emails and updating,9,9,,Jenni van Ree,,UK,
Wordpress site fix,UX/UI Design,Biffa,5. Archived,Peter Sayburn,Medium (5-10 hours),28/7/2022,"Apex1,Solution17",Apex1,,10,10,10,10,,10,10,,"Karen Walker,Amy ",26/8/2022,UK,
Video Animation,Creative & Production,Biffa,5. Archived,Hannah Fraser,High (10+ hours),12/9/2022,"SAND visuals,InspoHub Ltd,Apex1,Shoreditch Design Studio",SAND visuals,"Rob Thompson,Rob Thompson,Rob Thompson",,,,,,,,,,25/11/2022,UK,
Commonwealth Games Case Study Copywriting,Social & Content,Biffa,5. Archived,Hannah Fraser,High (10+ hours),20/9/2022,Inc,Inc,,,,,,,,,,,21/10/2022,UK,
Tender Template,Visualisation,Biffa,5. Archived,Hannah Fraser,Medium (5-10 hours),28/9/2022,"Rufus Leonard,Shoreditch Design Studio,Inc",Shoreditch Design Studio,,,,,,,,,,,21/10/2022,UK,
Simply Waste website hosting and maintenance ,Software Development,Biffa,5. Archived,Peter Sayburn,Low (1-5 hours),1/2/2023,Apex1,Apex1,,,,,,,,,,,31/7/2023,UK,
