Brief,Category,Clients,Status,Level of effort,Shortlisted Agencies,Winning Agency,Pitch Feedback Form,Quality: How would you rate the quality of delivery against your brief?,Value: How would you rate the agency in terms of value for money?,Chemistry: How would you rate the quality of the team and service you received?,Overall: How likely would you be to recommend this agency to your network and colleagues?,Would you like to share any other project feedback to the agency?,Studiospace: How would you rate your overall experience of working with Studiospace?,Overall: How likely would be to recommend  Studiospace to your network and colleagues?,Would you like to share any feedback to Studiospace?,Client Feedback
Brand Escape Room Production,Brand Strategy,Aviva,5. Archived,Low (1-5 hours),,Innovate Live,"Clare Beaumont-Adam,Clare Beaumont-Adam",,,,,,,,,
V2 Aviva Advisor Prop Messaging ,Copywriting,Aviva,5. Archived,Low (1-5 hours),Reed Words,Reed Words,,,,,,,,,,
"Escape Room Hoxton
",Spatial & Event Design,Aviva,5. Archived,Medium (5-10 hours),Innovate Live,Innovate Live,,,,,,,,,,
Countrywide broker video,Video,AXA,5. Archived,Medium (5-10 hours),"Viewpoint Studios,Shoreditch Design Studio",Shoreditch Design Studio,,10,10,10,10,"We had an incredibly tight turn around, but Shoreditch were able to take the tight time frame and small brief and produce gold from it. Will definitely use their services again.",10,10,"I'd heard great things about Studiospace from my colleagues, and they did not disappoint. They understood that we had a tight three week turn-around, and they were able to get us a meeting with two creators the next day. ",Joshua May
Marketing team coaching,Business Consultancy,Biffa,5. Archived,Low (1-5 hours),Blue Feathers,Blue Feathers,,10,10,10,10,"The preparation and consideration that went into the coaching sessions, and the updates with me, was very thorough. I thought the insight on the members going through the coaching was very helpful. Both team members have visibly improved since completing the coaching.",10,10,,Pam Conway
Media buying,Media Buying,Biffa,5. Archived,Medium (5-10 hours),Orange Panther Collective,Orange Panther Collective,,7,8,6,7,Not particularly quick at responding to emails and updating,9,9,,Jenni van Ree
Wordpress site fix,UX/UI Design,Biffa,5. Archived,Medium (5-10 hours),"Apex1,Solution17",Apex1,,10,10,10,10,,10,10,,"Karen Walker,Amy "
Video Animation,Creative & Production,Biffa,5. Archived,High (10+ hours),"SAND visuals,InspoHub Ltd,Apex1,Shoreditch Design Studio",SAND visuals,"Rob Thompson,Rob Thompson,Rob Thompson",,,,,,,,,
Commonwealth Games Case Study Copywriting,Social & Content,Biffa,5. Archived,High (10+ hours),Inc,Inc,,,,,,,,,,
Tender Template,Visualisation,Biffa,5. Archived,Medium (5-10 hours),"Rufus Leonard,Shoreditch Design Studio,Inc",Shoreditch Design Studio,,,,,,,,,,
